Name;Notion links;Budget;Age rating;Release year;Box office;Movie links;Original title;Synopsis;Duration;Tagline;Country
"Театр волшебных историй";"0+";"1982";"-";"-";"";"Faerie Tale Theatre";"Этот сериал представляет собой антологию (то есть каждая серия — это отдельная история), в которой были экранизированы классические сказки и мифы со всего мира. Особенностью сериала было то, что в нем участвовали известные актеры и знаменитости, которые играли главные роли в этих сказках, придавая им современное или необычное прочтение. Каждая серия была самостоятельным мини-фильмом с собственным сюжетом, декорациями и актерским составом, объединенным общей идеей – рассказать знакомые истории в новом, волшебном ключе.";"43 мин";"-";"США"
"Кошмар перед Рождеством";"https://www.notion.so/29aa0ca7844a8052a6fff84be3204683, https://www.notion.so/29aa0ca7844a8059a764e8768bbd58a6, https://www.notion.so/29aa0ca7844a80af85e8d8958dea2d45, https://www.notion.so/2a1a0ca7844a809ba374cc2ddc8707b5";"$18 000 000";"6+";"1993";"$91 500 000";"https://www.notion.so/2aaa0ca7844a80039a54d3adc3e5b632";"The Nightmare Before Christmas";"Джек Скеллинтон - Король Хэллоуина, правитель ""Города Хэллоуина"", где живут монстры, призраки и другие сверхъестественные существа. Однажды, устав от ежегодного празднования Хэллоуина, Джек случайно попадает в ""Город Рождества"" - яркий, полный радости и веселья мир. Очарованный новой праздничной атмосферой, он решает захватить Рождество и подарить жителям своего города новый праздник, что приводит к неожиданным и хаотичным последствиям.";"1 ч 16 мин";"«Это Рождество, и никто не может это изменить!»";"США"
"По следам монстра-сельдерея";"https://www.notion.so/29aa0ca7844a8052a6fff84be3204683, https://www.notion.so/29aa0ca7844a80ecbda6cdaf2d13b6a2";"-";"6+";"1979";"-";"";"Stalk of the Celery Monster";"Мультфильм длительное время считался утраченным. Из сохранившихся отрывков невозможно составить вразумительной картины о сюжете данного анимационного фильма. Фрагменты демонстрируют бесчеловечные эксперименты кровожадного дантиста Максвелла Пейна и его впечатлительного помощника над пациентами.";"2 мин";"В овощном переполохе найди свой овощной хаос!”";"США"
"Луау — вечеринка по-гавайски";"https://www.notion.so/29aa0ca7844a8052a6fff84be3204683, https://www.notion.so/29aa0ca7844a80ecbda6cdaf2d13b6a2";"-";"0+";"1982";"-";"";"Luau";"Небольшие отрывки, анимационные вставки, песенки и диалоги, мало связанные между собой: сёрферы, голова инопланетянина, бизнесмен, устраивающий себе рабочее место на пляже, захват чужих тел и голов.";"31 мин";"-";"США"
"Винсент";"https://www.notion.so/29aa0ca7844a804f8dd2e6a1fd2891b7";"-";"0+";"1982";"-";"";"Vincent";"Юный Винсент Маллой мечтает быть таким, как Винсент Прайс, и теряется в мрачных видениях, раздражающих его мать.";"6 мин";"-";"США"
"Гензель и Гретель";"https://www.notion.so/2a1a0ca7844a80168bead2ea252cf116, https://www.notion.so/2a1a0ca7844a801f9d0bffdb2fe428b7";"$116 000";"7+";"1983";"-";"";"Hansel and Gretel";"Брат с сестрой Гензель и Гретель, заблудившись в лесу, попадают в избушку злого колдуна-людоеда. Игрушки, сделанные их отцом, по знаку колдуна превращаются в кровожадных чудовищ и пытаются помочь новому хозяину поймать детей.";"45 мин";"-";"США"
"Франкенвини";"https://www.notion.so/29aa0ca7844a8033bae1e228b20b022d, https://www.notion.so/29aa0ca7844a8039ba66da6f291337aa, https://www.notion.so/29aa0ca7844a805594eee9c17ded475f, https://www.notion.so/29aa0ca7844a80af85e8d8958dea2d45";"$1 000 000";"6+";"1984";"-";"https://www.notion.so/2aaa0ca7844a80039a54d3adc3e5b632, https://www.notion.so/2aba0ca7844a80579ca7c3bce238b8de, https://www.notion.so/2aba0ca7844a80a4bd79c5d87b464a41";"Frankenweenie";"Маленький мальчик Виктор Франкенштейн, испытывающий поразительную склонность к кинематографу и естественным наукам, оживляет погибшего на дороге домашнего любимца — собаку Спарки. Внезапно оживший, но совершенно безобидный, пес наводит ужас на всю округу.";"30 мин";"«Хот дог!»";"США"
"Альфред Хичкок представляет";"https://www.notion.so/29aa0ca7844a80f2ba9cf3ae68b42093, https://www.notion.so/2a1a0ca7844a80688804d258b23d6758";"-";"16+";"1985";"-";"";"Alfred Hitchcock Presents";"Обновленные версии классических историй Альфреда Хичкока.";"Серии 22 мин";"-";"США"
"Алиса в Стране чудес";"https://www.notion.so/29aa0ca7844a801c9588f9cffc8ca6a4, https://www.notion.so/29aa0ca7844a802c9a01f05fd1c3a5aa, https://www.notion.so/29aa0ca7844a80f2ba9cf3ae68b42093";"$200 000 000";"12+";"2010";"$1 025 467 110";"https://www.notion.so/2aaa0ca7844a80039a54d3adc3e5b632";"Alice in Wonderland";"Жизнь 19-летней Алисы Кингсли принимает неожиданный оборот. На викторианской вечеринке, устроенной в её честь, Алисе делает предложение Хэмиш, богатый, но глупый сын лорда и леди Эскот. Не дав ответа, девушка убегает и идёт за кроликом, замеченным ею на лужайке. Кролик как кролик, вот только он одет в камзол и всё время смотрит на карманные часы.\n\nАлиса гонится за Белым Кроликом через весь луг и видит, как он исчезает в кроличьей норе. Затем, неожиданно, Алиса падает туда сама, летит вниз по странному, сказочному туннелю и приземляется в круглом зале со множеством дверей. Выпив из бутылки с надписью «ВЫПЕЙ МЕНЯ», она уменьшается в размерах, а откусив от пирожного с надписью «СЪЕШЬ МЕНЯ» — вырастает. Наконец, миновав череду злоключений, Алиса попадает через одну из дверей в чудесный фантастический мир, который его обитатели называют Подземной страной.\n\nТам её ждёт целый парад колоритных персонажей: хвастливая Соня, сумасшедший Шляпник, глумливый Чеширский Кот, накурившаяся кальяном гусеница по имени Абессалом, жутковатая Белая Королева и её злобная сестра, Королева Червей, вздорная и раздражительная правительница Подземной страны.";"1 ч 48 мин";"«Вы приглашены на безумно важное событие»";"США; Италия; Канада; Япония; Великобритания"
"Чарли и шоколадная фабрика";"https://www.notion.so/29aa0ca7844a801c9588f9cffc8ca6a4, https://www.notion.so/29aa0ca7844a802c9a01f05fd1c3a5aa, https://www.notion.so/29aa0ca7844a80f2ba9cf3ae68b42093";"$150 000 000";"6+";"2005";"$474 968 763";"https://www.notion.so/2aaa0ca7844a80039a54d3adc3e5b632";"Charlie and the Chocolate Factory";"Какие чудеса ждут вас на фабрике Вилли Вонки? Только представьте: травяные луга из сладкого мятного сахара в Шоколадной Комнате ... Можно проплыть по Шоколадной реке на розовой сахарной лодке ... Или поставить эксперименты в Комнате изобретений с леденцами, которые никогда не тают ... Понаблюдать за дрессированными белками в Ореховой Комнате или отправиться в стеклянном лифте в Телевизионную Комнату. Вы найдете слишком много смешного, чуть таинственного и настолько захватывающего в этом путешествии, что оно станет настолько же приятным и сладким для вас, как восхитительная сладкая палочка с розовой сливочной помадкой от Вилли Вонки.";"1 ч 55 мин";"«Приготовьтесь к шоколадному вкусу приключений»";"США"
